OBJECTID,OBJECTID_1,ID,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,March_2012,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2009,May_2009,Jun_2009,Jul_2009,Aug_2009,Sep_2009,Oct_2009,Nov_2009,Dec_2009,Jan_2010,Feb_2010,Mar_2010,sum_2011,sum_2010,sum_2009,total,X_Centroid,Y_Centroid,Pop_2011,Shape_Area
289,289,251,15,8,27,33,25,17,2,3,0,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,148,1349247.689,3916982.131,53582,1809843102
290,290,284,2,1,4,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,362303.6149,3575046.102,50797,2369336561
291,291,359,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,168861.9769,3916402.858,62844,1841217214
292,292,159,0,5,4,2,4,4,0,1,2,4,5,0,4,0,10,4,8,9,3,1,0,0,0,0,1,5,2,2,5,3,7,4,0,0,3,0,31,39,32,102,636020.8685,3568472.007,2174172,15706292070
293,293,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862644.5528,3746223.302,17793,10988621683
294,294,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910561.9666,3419078.618,35295,2098331342
295,295,249,0,0,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,1247532.487,4047807.761,58483,1005404162
296,297,232,5,27,25,23,13,13,14,15,11,10,4,19,16,5,13,7,16,13,14,5,9,6,9,10,14,31,32,27,19,46,15,14,6,18,13,11,179,123,246,548,1292965.362,4047806.418,3069941,9444456956
297,298,266,0,6,2,0,0,3,2,0,0,1,0,1,0,1,1,0,4,1,5,0,0,1,2,1,1,6,2,1,6,0,1,0,0,2,1,2,15,16,22,53,275909.5598,3457015.422,1395184,6977191446
298,299,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307165.6784,3488458.857,89160,1403522941
299,300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506685.4927,3369835.354,20699,1062271324
300,301,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487847.9174,3404388.555,32159,1317548101
301,302,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336438.2949,3801989.368,58262,1365030135
302,303,30,0,0,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,6,1,17,671176.5973,4060660.277,73554,279764635.8
303,304,31,5,6,5,4,3,0,1,1,0,1,1,4,4,3,6,2,0,7,1,0,4,2,1,2,0,8,4,7,3,0,0,1,0,3,3,0,31,32,29,92,460207.3558,4070364.91,68323,725281780.1
304,305,19,2,7,6,17,20,15,9,8,1,6,3,1,3,0,4,6,2,3,3,1,7,2,1,0,10,3,2,6,1,6,11,0,3,9,6,2,95,32,59,186,710659.7654,4025403.653,478167,3640959940
305,306,21,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,3,2,0,0,0,0,0,1,1,0,4,5,8,17,667502.5831,4038982.686,320741,478542747.7
306,307,29,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,1,3,3,2,0,0,1,0,0,1,1,1,0,0,0,0,0,5,12,4,21,619364.9043,4051948.068,96019,266290842
307,308,28,1,10,3,1,6,5,0,0,1,0,5,3,2,3,2,6,2,12,4,2,2,2,1,0,2,1,4,2,0,10,6,0,2,2,2,7,35,38,38,111,580208.2838,4014697.061,109281,2673411489
308,309,24,0,5,2,2,7,2,3,2,0,0,0,0,2,2,3,0,1,1,4,1,1,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,23,21,3,47,554273.3113,4032333.204,128467,1681479478
309,310,26,0,6,0,1,0,0,1,16,6,5,1,0,1,3,0,4,4,6,5,0,1,0,1,1,6,0,1,1,0,0,5,0,0,0,0,0,36,26,13,75,518354.2873,4029439.82,122736,1595326241
310,311,36,1,6,7,0,0,3,1,1,0,1,2,1,4,7,0,1,2,3,1,3,0,0,0,0,5,1,2,3,2,0,1,1,2,3,0,0,23,21,20,64,750437.1257,4064576.257,38847,406484548.4
311,312,349,2,3,7,2,3,3,0,1,0,5,6,3,0,0,4,6,0,1,7,1,2,0,2,5,0,1,0,2,4,3,2,0,4,0,0,0,35,28,16,79,441228.9156,3993751.722,93844,1313906611
312,313,346,0,1,0,4,0,6,1,2,5,5,2,2,0,2,1,0,2,1,2,1,0,3,0,0,1,2,0,0,0,1,1,0,0,1,0,0,28,12,6,46,424392.23,4008032.338,203276,464327453.7
313,314,348,3,11,5,6,9,4,2,5,1,15,8,3,5,7,9,3,3,10,3,3,4,2,2,4,8,4,9,4,4,12,7,4,3,6,3,0,72,55,64,191,374377.5114,3955488.732,164723,5674195154
314,315,347,1,5,10,1,0,5,5,6,1,1,1,1,1,3,2,5,4,7,4,7,0,1,4,4,11,9,22,6,2,6,3,2,2,6,1,3,37,42,73,152,368668.856,3986319.012,172949,2590665355
315,316,345,3,5,29,14,16,14,11,15,9,14,9,2,2,13,4,11,6,6,5,5,0,0,2,8,3,3,11,4,0,13,1,5,7,1,4,6,141,62,58,261,397707.2665,4037342.538,566773,5524208142
316,317,350,3,3,4,11,16,5,9,10,4,2,2,10,2,1,4,4,4,7,5,3,5,4,2,2,0,1,12,0,0,2,4,3,2,4,0,2,79,43,30,152,502426.3817,3839361.994,1115672,11526262140
317,318,299,0,0,4,0,0,0,2,0,1,1,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,4,0,5,0,1,0,0,0,0,2,1,8,7,13,28,803698.3446,3939834.29,86908,14033200888
318,319,298,0,0,2,2,0,4,0,0,4,2,1,1,2,1,0,1,0,0,0,0,0,1,0,0,1,3,1,1,0,1,2,1,1,3,0,0,16,5,14,35,728501.5568,3874634.299,182260,20240368121
319,320,300,2,2,3,2,4,3,3,0,3,2,4,5,2,5,2,1,0,3,0,1,0,0,3,0,0,5,4,6,4,0,0,4,1,4,3,3,33,17,34,84,626470.7879,3865560.215,81324,9511570373
320,321,305,1,2,4,3,3,1,4,0,3,3,0,0,6,13,37,8,2,8,5,4,1,5,4,0,7,14,12,11,1,12,4,0,0,0,0,3,24,93,64,181,1403252.945,3101273.473,219796,20131069906
321,322,309,9,11,25,10,3,2,3,2,2,3,0,0,5,6,29,29,1,3,0,1,0,0,0,3,3,12,7,1,1,2,5,2,1,0,0,0,70,77,34,181,1511694.077,3162196.531,155625,20123354451
322,323,304,2,1,2,0,0,0,4,3,0,0,2,1,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,3,2,15,7,10,32,1451031.499,3453860.618,259365,15044845743
323,324,302,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,1407872.587,3303086.845,660575,36022590058
324,325,311,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,1520520.393,3458435.341,75419,802494744
325,326,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648138.516,3078943.621,175728,13274401139
326,327,308,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1537855.562,2968612.812,164557,11146401084
327,328,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395831.242,2868946.1,82001,8968636891
328,329,313,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,1518917.231,3501168.094,65166,1012401406
329,330,207,0,1,4,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,4,2,2,2,1,0,0,1,0,0,0,0,1,1,0,2,8,14,6,28,523126.5937,3937509.554,458688,219874077
330,331,212,1,0,1,1,1,1,0,0,1,0,1,0,0,3,1,1,1,1,0,0,2,1,2,0,0,1,1,4,2,2,0,1,0,1,0,1,7,12,13,32,506508.5617,3928620.831,195917,323472681.5
331,332,209,1,1,1,0,1,2,0,1,0,1,0,2,0,0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,0,1,5,10,6,12,28,524775.8988,3911098.574,319305,2266349774
332,333,215,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,5,6,3,14,555124.6236,3974921.928,44061,1188187256
333,334,204,0,0,0,1,0,0,0,1,0,0,0,1,0,3,2,4,0,0,0,1,3,5,0,0,0,0,0,2,0,2,1,0,2,2,0,0,3,18,9,30,502774.0681,3940720.233,624440,386365856.8
334,335,216,0,0,1,0,0,0,0,4,2,3,4,1,0,1,2,2,0,1,1,0,1,1,1,0,1,0,1,5,0,2,2,0,0,0,0,0,15,10,11,36,649950.0638,3952178.082,38712,2383290795
335,336,205,12,11,30,5,20,12,16,11,5,5,8,2,12,18,22,28,7,17,5,27,13,14,14,14,2,3,1,2,0,4,2,4,1,2,0,2,137,191,23,351,568129.885,3891218.891,526294,1893939856
336,337,132,15,11,15,10,14,21,10,7,16,4,15,10,10,20,12,10,3,7,6,6,5,26,12,8,5,12,10,7,6,7,5,4,12,3,11,5,148,125,87,360,-36095.71314,4180640.968,963738,5312104743
337,338,144,1,0,1,2,2,0,0,3,2,1,2,0,3,4,2,2,0,0,2,4,1,2,1,2,9,4,0,1,2,2,0,0,1,0,0,0,14,23,19,56,-28404.46409,4119068.273,70030,1187036800
338,339,135,4,5,5,6,12,6,9,6,5,7,4,0,6,4,16,5,6,5,3,7,10,1,4,2,21,16,18,20,9,17,14,6,7,6,6,4,69,69,144,282,65021.38913,4056674.632,224628,2501761450
339,340,143,2,0,8,3,5,5,8,9,4,4,4,6,6,9,15,5,12,0,0,4,1,3,1,2,4,6,2,9,1,8,0,2,2,6,6,4,58,58,50,166,152838.9555,4047010.342,78122,2175082479
340,341,133,5,17,16,11,29,32,21,24,26,28,24,19,0,14,7,1,6,1,1,19,11,15,15,8,11,12,14,14,2,18,9,12,7,8,0,5,252,98,112,462,-43416.92635,4291425.055,354309,4520765661
341,342,140,3,3,0,0,2,1,0,1,0,0,1,0,1,6,5,5,2,3,2,1,4,1,4,7,2,3,3,1,6,7,4,1,2,3,0,0,11,41,32,84,2002.221923,4023746.129,111590,1385234878
342,343,137,16,12,18,8,12,13,8,10,9,6,7,8,7,7,7,7,3,6,15,5,6,4,5,1,5,11,17,6,4,7,15,0,2,3,4,8,127,73,82,282,-56332.82701,4240312.502,192591,2552807550
343,344,142,7,6,4,7,12,5,8,2,4,4,0,4,7,10,10,11,11,14,9,6,5,7,3,4,12,19,20,10,2,8,3,6,6,5,7,6,63,97,104,264,-51863.27503,4385703.344,88863,1930689277
344,345,136,0,6,9,5,10,11,9,4,0,3,0,5,1,7,11,5,6,5,6,7,7,6,5,0,1,14,2,7,2,9,4,5,3,3,3,3,62,66,56,184,29394.68647,4070236.897,215529,2632417049
345,346,134,18,13,12,10,12,10,7,3,6,10,20,20,6,5,12,5,7,4,5,10,3,2,7,5,23,15,23,11,7,10,8,2,1,5,2,0,141,71,107,319,72490.04645,4106992.376,260628,2173844368
346,347,139,2,12,3,2,8,5,3,2,4,4,1,2,1,2,2,1,2,5,2,5,0,1,2,1,5,3,2,1,3,2,3,4,0,0,3,2,48,24,28,100,5532.609504,4106822.585,121602,1140098164
347,348,138,0,0,0,1,3,1,2,0,0,0,2,2,0,4,0,5,0,0,0,5,0,0,3,0,16,8,3,3,3,7,1,1,0,0,0,0,11,17,42,70,-16198.63326,4075077.068,123639,2177669895
348,349,146,3,3,20,19,25,21,14,0,10,2,3,10,0,1,16,8,3,10,8,3,2,2,1,1,1,3,4,5,5,4,3,4,3,0,0,0,130,55,32,217,-73389.92887,4347978.403,46389,1991065260
349,350,75,1,0,4,3,2,0,9,2,0,1,0,1,0,0,3,0,0,4,0,1,0,0,0,3,2,1,1,0,0,4,1,2,0,0,0,2,23,11,13,47,727391.0159,3442359.098,46662,5356252812
350,351,73,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,853610.6845,3613975.885,77758,23216910004
351,352,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,8,4,13,917404.3454,3512028.72,41786,8422638658
352,353,76,0,2,0,1,2,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,7,8,3,18,767447.4735,3483369.129,45145,5834655872
353,354,79,2,1,6,5,11,9,4,2,2,2,1,7,4,4,1,6,3,2,2,1,3,0,0,5,3,4,7,5,1,0,1,2,1,1,1,3,52,31,29,112,811172.3916,3363477.577,35158,8183115324
354,355,80,0,0,7,3,1,1,0,0,0,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,17,3,5,25,746404.8584,3538612.659,32192,5644011902
355,356,74,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,2,2,0,0,2,0,0,0,0,0,3,1,13,17,1042753.666,3699652.827,69658,55412205820
356,357,77,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,4,4,0,1,2,0,0,0,0,0,6,2,16,24,846812.3403,3473761.445,44126,6772818317
357,358,72,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,3,3,14,778898.0686,3569216.778,82840,1232674979
358,359,71,4,3,9,5,9,1,1,3,0,1,1,1,6,4,4,11,2,7,0,6,0,2,6,7,6,3,8,4,3,7,8,5,5,0,7,1,38,55,57,150,832560.4396,3538469.009,582682,2484449619
359,360,292,0,3,4,3,3,5,2,1,0,0,1,0,2,1,0,1,5,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,22,14,4,40,323037.5093,4016877.974,169176,2878601280
360,361,296,2,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,2,2,11,248581.5845,4025819.488,38416,1858689949
361,362,291,14,12,25,16,25,13,12,10,13,9,10,7,8,17,11,21,11,15,13,13,16,16,7,8,25,28,21,24,12,22,17,12,9,12,15,14,166,156,211,533,273063.3902,3985663.597,196553,5168000180
362,363,293,0,1,0,0,0,0,1,0,3,1,0,0,1,4,1,1,0,1,0,1,1,1,0,0,0,1,3,0,1,0,0,2,1,0,2,3,6,11,13,30,333934.0561,4015356.29,65166,459510313.9
363,364,290,2,2,4,5,3,4,8,4,3,2,3,2,3,1,4,1,4,1,3,2,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,42,22,3,67,252129.0662,4081443.556,486495,6471238851
364,365,294,2,7,8,3,7,9,4,3,1,2,1,0,2,1,1,2,1,1,0,0,0,1,1,6,0,1,0,1,0,3,0,0,1,0,0,0,47,16,6,69,311200.4576,4091069.853,46616,2029172912
365,366,32,1,0,1,3,2,2,1,1,0,1,2,1,0,4,1,2,2,5,3,2,0,1,0,0,1,1,1,3,0,3,1,0,0,0,0,1,15,20,11,46,673056.5695,3997201.362,64378,2131460024
366,367,27,3,5,5,5,11,4,5,6,2,2,0,0,3,4,14,5,3,7,2,3,3,2,4,1,5,2,3,6,3,4,1,1,1,3,2,4,48,51,35,134,728022.1826,4044866.977,111944,1325797830
367,368,306,4,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,1,20,1394248.463,2952830.098,212936,20409919009
368,369,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524102.973,2871571.275,264051,9739043765
369,370,141,9,15,8,9,12,8,10,4,4,3,5,4,3,4,24,31,11,20,20,13,8,6,7,10,5,1,5,14,4,7,5,2,1,4,0,1,91,157,49,297,110724.2453,4067922.725,91113,2255809857
370,371,295,0,0,1,0,1,0,0,2,0,0,2,0,0,0,1,4,0,0,1,1,1,0,0,0,0,2,4,5,2,5,1,0,0,2,0,2,6,8,23,37,194454.0029,4061063.641,40312,2908072396
371,372,297,4,4,12,9,5,3,4,2,6,4,1,2,7,6,2,10,3,11,5,2,4,4,2,1,2,24,18,15,17,1,2,2,1,3,0,3,56,57,88,201,923966.0157,3952574.458,238830,51761910890
372,373,210,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,1,0,1,1,0,1,4,3,5,2,0,4,0,0,5,7,21,33,570634.3397,3923328.957,291397,589211936.2
373,374,33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,636669.0635,4056466.736,57980,96951406.88
374,375,301,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,15,716559.4902,3974201.274,41896,1943759867
375,376,314,1,3,3,4,2,1,1,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,1322822.519,3059910.652,62813,11534065995
376,377,315,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1561294.415,3028903.451,62765,6418572690
377,378,208,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,472796.141,3941240.719,373994,896006389.2
378,379,145,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,-32749.66598,4350205.689,52519,930972489.3
379,380,148,0,0,0,0,0,0,3,2,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,-10337.86615,4355609.03,42071,1507869377
380,381,147,1,2,3,5,3,1,4,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,-18485.24261,4320463.124,43206,1036161255
381,382,81,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,986113.9736,3553311.615,15331,6725125900
382,383,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579568.295,3068745.717,73189,7157483274
383,384,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514212.4941,4055670.323,47591,307490831.1
384,385,203,3,3,3,8,2,2,3,6,7,2,2,2,0,2,7,4,4,3,2,17,1,0,2,3,3,7,6,7,9,4,3,1,3,4,0,2,43,45,49,137,543253.7379,3953329.15,8293140,1621730519
385,386,213,0,2,2,1,2,1,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,1,9,6,8,23,606177.2115,3942786.975,100690,1865885649
386,387,211,0,0,0,2,1,1,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,510205.0292,3951160.716,290633,58098504.62