human_county,shp_county
Abas Abad,Abbasabad
Ajab Shir,Ajabshir
Aligoodarz,Aligudarz
Anbar Abad,Anbarabad
Aran o Bidgol,Aran-o-Bidgol
Ardakan,Ardekan
Asad Abad,Asadabad
Astaneye Ashrafiye,Astane-ye-Ashrafiyeh
Azad Shahr,Azadshahr
Azar Shahr,Azarshahr
Badreh,Badre
Bahmei,Bahmai
Bakherz,Bakharz
Bandar Abas,Bandar-Abbas
Bandar Anzali,Bandar-e-Anzali
Bandar Lengeh,Bandar-Lengeh
Bandar Torkaman,Bandar-e-Torkaman
Bardeskan,Bardaskan
Bejestan,Bajestan
Bile Savar,Bilasavar
Boien o Miandasht,Booeino Miyandasht
Bojnord,Bojnurd
Boshroyeh,Boshruyeh
Bostan Abad,Bostanabad
Buin Zahra,Buin-Zahra
Chadgan,Chadegan
Charoymaq,Charuymaq
Cheram,Charam
Dahaghan,Dehaghan
Dalahu,Dalaho
Dare Shahr,Darreh Shahr
Dasht Azadegan,Dasht-e-Azadegan
Delgan,Dalgan
Divandare,Divandarreh
Eslam Abad Gharb,Islamabad-e-Gharb
Eslamshahr,Islamshahr
Fannuj,Fanouj
Faruj,Faroj
Ferdos,Ferdows
Fereidun shahr,Fereydunshahr
fereydon kenar,Feredunkenar
Firouzeh,Firuzeh
Firozabad,Firuzabad
Firozkuh,Firuzkuh
Galikesh,Galikash
Galu gah,Galugah
Garmeh,Germeh
Genaveh,Ganaveh
Gharchak,Qarchak
Gotvand,Guotvand
Grash,Gerash
Haftgel,Haftgol
Haji Abad,Hajiabad
Hamidiyeh,Hamidieh
Hamoon,Hamoun
Hovaizeh,Hoveizeh
Jajarm,Jajrom
Javanroud,Javanrud
Kabudar Ahang,Kabudarahang
Kaleybar,Kalibar
Karaj 1,Karaj
Karaj 2,Karaj
karoon,Karoun
Khalil Abad,Khalilabad
Khandab,Khondab
Khoda Afarin,Khodaafarin
Khomeini Shahr,Khomeinishahr
Khoram Abad,Khorramabad
Khorambid,Khorrambid
Khoramdareh,Khorramdarreh
Khoramshahr,Khorramshahr
Khosf,Khusf
kiyar,Kiaar
Kohgiluyeh,Kohgeluyeh
Komeyjan,Komeijan
Kord kuy,Kordkuy
Kosar,Kowsar
Kuhbanan,Kuhbonan
Mahalat,Mahallat
Mahdishahr,Mehdishahr
Mahmud Abad,Mahmudabad
Majed soleyman,Masjed-Soleyman
Malkan,Malekan
Mane-o-Samalqan,Maneh-o-Samalqan
maraveh tapeh,Maravehtapeh
Mashhad 1,Mashhad
Mashhad 2,Mashhad
Mashhad 3,Mashhad
Mashhad 5,Mashhad
Menojan,Manujan
Meshkin Shahr,Meshginshahr
Miyandoab,Miandoab
Miyandorud,Miandorud
Miyane,Mianeh
Mobarake,Mobarakeh
Naein,Nain
Najaf Abad,Najafabad
Naqade,Naqadeh
Narmashir,Normashir
Nazar Abad,Nazarabad
Nik Shahr,Nikshahr
Nimrooz,Nimrouz
Nowshahr,Noshahr
Omidiye,Omidiyeh
Oshnaviye,Oshnaviyeh
Pars Abad,Parsabad
Parsiyan,Parsian
Qaem shahr,Qaemshahr
Qasr e ghand,Ghasre Ghand
Qasr e shirin,Qasr-e-Shirin
Qayen,Qaen
Qir o Karzin,Qir-o-Karzin
Rabor,Rabar
Ramiyan,Ramian
Rezvan Shahr,Rezvanshahr
Robat Karim,Robat-Karim
Roumeshkan,Romeshkan
Rudbar Jonub,Roudbar-e-Jonub
Sahne,Sahneh
Salas e babajani,Solas-e-Babajani
Sanandaj,Sannandaj
Sarbishe,Sarbisheh
Sarein,Sareyn
Sarpol  Zahab,Sarpol-e-Zahab
Sarv Abad,Sarvabad
Savad kuh,Savadkuh
Savoj bolaq,Savojbolagh
Shahinshahr o Meime,Shahinshahro Meymeh
Shahr Babak,Shahr-e-Babak
Shahr Qods,Shahr-e Qods
Shahriyar,Shahriar
shimiranat,Shemiranat
Shiraz 1,Shiraz
Shiraz 2,Shiraz
Shiraz 3,Shiraz
Shirvan Chardavol,Shirvan-o-Chardavol
shot,Showt
sib o suran,Sibo Soran
Simorq,Simorgh
Siyahkal,Siahkal
Soltaniyeh,Soltanieh
Somesara,Some'e-Sara
Taibad,Taybad
Taram,Tarom
Toiserkan,Tuyserkan
Torbat e Heydariyeh,Torbat-e-Heydarieh
Torbat e Jam,Torbat-e-Jam
Torghabe shandiz,Torghabe-o-Shandiz
Urumiye,Urumia
Varzeqan,Varzaqan
Zahak,Zehak
Zarandiye,Zarandieh
Zarin Dasht,Zarrindasht
Zirkooh,Zirkouh
Ali Abad Katul,Aliabad
Bafgh,Bafq
Bandar Qaz,Bandar-e-Gaz
Dailam,Deylam
Gonbad  kavoos,Gonbad-e-Kavus
Ijroud,Eejrud
Jovein,Jowayin
Kalale,Kolaleh
Mahvalat,Mahvelat
Neyshabur,Nishapur
Orzoieyeh,Arzuiyeh
Ray,Rey
Tehran Jonub,Tehran
Tehran Shomal,Tehran
Tiran o Karvan,Tiran-o-Korun
Abadeh Tashk,Abadeh
Agh Ghala,Aqqala
Ahvaz e gharb,Ahvaz
Ahvaz e Shargh,Ahvaz
Gilan Qarb,Gilan-e-Gharb
Kharame,Kherameh
Maraqe,Maragheh
Tehran Gharb,Tehran
Tehran Shargh,Tehran
Tehran Shomal Qarb,Tehran
Zaveh,Zave
Bandar Mahshahr,Mahshahr
Qale ganj,Ghaleye-Ganj
Abadan,Abadan
Abadeh,Abadeh
Abdanan,Abdanan
Abhar,Abhar
Abyek,Abyek
Ahar,Ahar
Alborz,Alborz
Amlash,Amlash
Amol,Amol
Anar,Anar
Andika,Andika
Andimeshk,Andimeshk
Aradan,Aradan
Arak,Arak
Ardabil,Ardabil
Ardal,Ardal
Ardestan,Ardestan
Arsanjan,Arsanjan
Ashtian,Ashtian
Astara,Astara
Avaj,Avaj
Azna,Azna
Babol,Babol
Babolsar,Babolsar
Baft,Baft
Baghmalek,Baghmalek
Bahabad,Bahabad
Bahar,Bahar
Baharestan,Baharestan
Bam,Bam
Baneh,Baneh
Bardsir,Bardsir
Basht,Basht
Bastak,Bastak
Bavanat,Bavanat
Bavi,Bavi
Behbahan,Behbahan
Behshahr,Behshahr
Ben,Ben
Bijar,Bijar
Birjand,Birjand
Bonab,Bonab
Borkhar,Borkhar
Borujen,Borujen
Borujerd,Borujerd
Bukan,Bukan
Bushehr,Bushehr
Chabahar,Chabahar
Chaldoran,Chaldoran
Chalus,Chalus
Chaypareh,Chaypareh
Chenaran,Chenaran
Damavand,Damavand
Damghan,Damghan
Darab,Darab
Dargaz,Dargaz
Darmian,Darmian
Dashtestan,Dashtestan
Dashti,Dashti
Davarzan,Davarzan
Dayyer,Dayyer
Dehgolan,Dehgolan
Dehloran,Dehloran
Delijan,Delijan
Dena,Dena
Dezful,Dezful
Dorud,Dorud
Eqlid,Eqlid
Esfarayen,Esfarayen
Eshtehard,Eshtehard
Estahban,Estahban
Eyvan,Eyvan
Fahraj,Fahraj
Falavarjan,Falavarjan
Famenin,Famenin
Farahan,Farahan
Farashband,Farashband
Fardis,Fardis
Faridan,Faridan
Fariman,Fariman
Farsan,Farsan
Faryab,Faryab
Fasa,Fasa
Fuman,Fuman
Gachsaran,Gachsaran
Garmsar,Garmsar
Germi,Germi
Golpayegan,Golpayegan
Gomishan,Gomishan
Gonabad,Gonabad
Gorgan,Gorgan
Hamadan,Hamadan
Harsin,Harsin
Hashtrud,Hashtrud
Hendijan,Hendijan
Heris,Heris
Hirmand,Hirmand
Ilam,Ilam
Iranshahr,Iranshahr
Izeh,Izeh
Jahrom,Jahrom
Jam,Jam
Jask,Jask
Jiroft,Jiroft
Jolfa,Jolfa
Juybar,Juybar
Kalat,Kalat
Kamyaran,Kamyaran
Kangavar,Kangavar
Kashan,Kashan
Kashmar,Kashmar
Kavar,Kavar
Kazerun,Kazerun
Kerman,Kerman
Kermanshah,Kermanshah
Khaf,Khaf
Khalkhal,Khalkhal
Khansar,Khansar
Khash,Khash
Khatam,Khatam
Khodabandeh,Khodabandeh
Khomein,Khomein
Khonj,Khonj
Khoshab,Khoshab
Khoy,Khoy
Konarak,Konarak
Kuhdasht,Kuhdasht
Kuhrang,Kuhrang
Lahijan,Lahijan
Lali,Lali
Lamerd,Lamerd
Landeh,Landeh
Langrud,Langrud
Larestan,Larestan
Lenjan,Lenjan
Lordegan,Lordegan
Mahabad,Mahabad
Mahneshan,Mahneshan
Maku,Maku
Malard,Malard
Malayer,Malayer
Malekshahi,Malekshahi
Mamasani,Mamasani
Marand,Marand
Marivan,Marivan
Marvdasht,Marvdasht
Masal,Masal
Mehr,Mehr
Mehran,Mehran
Mehriz,Mehriz
Meybod,Meybod
Minab,Minab
Minudasht,Minudasht
Mirjaveh,Mirjaveh
Nahavand,Nahavand
Namin,Namin
Natanz,Natanz
Nehbandan,Nehbandan
Neka,Neka
Neyriz,Neyriz
Nir,Nir
Nur,Nur
Osku,Osku
Pakdasht,Pakdasht
Pardis,Pardis
Pasargad,Pasargad
Paveh,Paveh
Piranshahr,Piranshahr
Pishva,Pishva
Poldasht,Poldasht
Poldokhtar,Poldokhtar
Qazvin,Qazvin
Qeshm,Qeshm
Qom,Qom
Qorveh,Qorveh
Quchan,Quchan
Rafsanjan,Rafsanjan
Ramhormoz,Ramhormoz
Ramsar,Ramsar
Ramshir,Ramshir
Rasht,Rasht
Rashtkhar,Rashtkhar
Ravansar,Ravansar
Ravar,Ravar
Razan,Razan
Rigan,Rigan
Rostam,Rostam
Rudan,Rudan
Rudbar,Rudbar
Rudsar,Rudsar
Sabzevar,Sabzevar
Salmas,Salmas
Saman,Saman
Saqqez,Saqqez
Sarab,Sarab
Sarakhs,Sarakhs
Saravan,Saravan
Sarayan,Sarayan
Sarbaz,Sarbaz
Sardasht,Sardasht
Sari,Sari
Sarvestan,Sarvestan
Saveh,Saveh
Semirom,Semirom
Semnan,Semnan
Sepidan,Sepidan
Shabestar,Shabestar
Shadegan,Shadegan
Shaft,Shaft
Shahindej,Shahindej
Shahrekord,Shahrekord
Shahreza,Shahreza
Shahrud,Shahrud
Shazand,Shazand
Shirvan,Shirvan
Shush,Shush
Shushtar,Shushtar
Sirjan,Sirjan
Sirvan,Sirvan
Sonqor,Sonqor
Sorkheh,Sorkheh
Tabas,Tabas
Tabriz,Tabriz
Tafresh,Tafresh
Taft,Taft
Takab,Takab
Takestan,Takestan
Taleghan,Taleghan
Talesh,Talesh
Tangestan,Tangestan
Tonekabon,Tonekabon
Varamin,Varamin
Yazd,Yazd
Zabol,Zabol
Zahedan,Zahedan
Zanjan,Zanjan
Zarand,Zarand